model,mean_convergent_r,median_convergent_r,mean_discriminant_r,median_discriminant_r,mean_convergent_minus_discriminant
GPT-5,0.27321593924156834,0.2883494589024697,0.09868838794406447,0.11260509727915358,0.17452755129750386
GPT-OSS-120B,0.21744082860283995,0.2068996229032073,0.07905454926509847,0.06941899012678351,0.13838627933774147
Grok-4,0.28576184266372234,0.23889309398193634,0.15250627637831282,0.1667858877854379,0.13325556628540952
LLaMA-3,0.15543628377210303,0.14747334242956028,0.03408618493786849,0.028866300301998594,0.12135009883423453
MODEL_AVERAGE,0.2709706193816035,0.2887490848139572,0.10989812844992157,0.10808148432237089,0.1610724909316819
