model,mean_convergent_r,median_convergent_r,mean_discriminant_r,median_discriminant_r,mean_convergent_minus_discriminant
GPT-5,0.27321593924156834,0.28834945890246966,0.09868838794406448,0.11260509727915356,0.17452755129750386
GPT-OSS-120B,0.21744082860283998,0.20689962290320732,0.0790545492650985,0.06941899012678353,0.13838627933774147
Grok-4,0.2857618426637224,0.23889309398193634,0.1525062763783128,0.1667858877854379,0.1332555662854096
LLaMA-3,0.15543628377210303,0.14747334242956028,0.03408618493786852,0.028866300301998615,0.1213500988342345
MODEL_AVERAGE,0.2709706193816035,0.28874908481395717,0.10989812844992158,0.10808148432237087,0.1610724909316819
