model,mean_convergent_r,median_convergent_r,mean_discriminant_r,median_discriminant_r,mean_convergent_minus_discriminant
GPT-5,0.27321593924156834,0.28834945890246966,0.09868838794406448,0.11260509727915356,0.17452755129750386
GPT-OSS-120B,0.1916078880152238,0.200027525345691,0.0813669490732594,0.072341260651744,0.11024093894196439
Grok-4,0.2857618426637224,0.23889309398193634,0.1525062763783128,0.1667858877854379,0.1332555662854096
LLaMA-3,0.15543628377210303,0.14747334242956028,0.03408618493786852,0.028866300301998615,0.1213500988342345
MODEL_AVERAGE,0.266841013833471,0.2863246418385547,0.11019265788854238,0.11345531304110397,0.1566483559449286
